Source Place,Type,Source Detail,Game Place,Game Function,Use Rule,Source Locator
Pocatello hospital,Regional hospital,Shawn airlifted after head injury from Malad site.,Pocatello Regional,Higher-level care and cost consequences.,Factual name; use only if keeping real geography.,Ch. 14; PDF pp. 123–126.
"McKay-Dee, Ogden",Regional hospital,Neonatal transfer destination during blizzard; two ambulances sent.,McKay-Dee / regional analogue,Weather evacuation and medical capability contrast.,Exact institution requires current legal/brand review for commercial use.,Ch. 29; PDF around pp. 228–230.
Lava Hot Springs,Town / family outing,Favorite restaurant trip with mother’s siblings; collective remembrance of grandmother.,Lava Hot Springs,Late-game family-memory route.,"Use as a reflective travel scene, not tourist checklist.",Ch. 39; PDF pp. 290–292.
Utah State University test room,Academic threshold,"White classroom, rows of students, first bubble sheet, four-hour ACT.",State University Testing Center,Invisible-rules tutorial and exam stress.,Factual setting may be generalized for game.,Ch. 15; PDF pp. 130–131.
BYU apartment south of campus,Housing,One mile south; three bedrooms; city noise; cosmetology school across street; segregated housing.,Wasatch College South Apartments,"Culture-shock hub, roommate routines, hygiene and Sabbath rules.",Use the spatial details and sounds; fictional college name pending rights strategy.,Ch. 17; PDF pp. 146–151.
BYU bus route,Transit,Wrong-direction ride makes Mara late to a senior Shakespeare course.,Campus Loop Bus,Navigation tutorial where assumed knowledge matters.,No joke fail state; allow recovery through asking or map reading.,Ch. 17; PDF pp. 147–148.
Registrar’s office,Academic administration,Freshman courses full; must check online for openings.,Registrar Hall,Course-access system and institutional navigation.,"Use exact procedure as texture, not busywork.",Ch. 17; PDF p. 148.
Joseph Smith auditorium,Lecture hall,"American history auditorium named for Joseph Smith; large classes, quizzes, dense vocabulary.",Founders Auditorium,History lectures and worldview expansion.,Exact building name can be source-only; game analogue keeps religious-campus layering.,Ch. 17; PDF pp. 148–149.
Western Civ slide room,Classroom,"High windows, shutters, slide projector, art images; Holocaust question produces silence.",Western Civilization Hall,"Knowledge-gap, source comparison, and public embarrassment scenes.",Handle Holocaust material with historical care; not a trivia puzzle.,Chs. 17–18; PDF pp. 149–157.
BYU computer lab,Academic resource,Mara looks up the Holocaust after class.,Campus Computer Lab,Research unlock and self-directed correction.,Use period-accurate computers and dial-up/early web interface.,Ch. 17; PDF pp. 149–150.
Engineering building,Work / campus,"Four A.M. janitorial job, sleep deprivation, scholarship pressure.",Engineering Hall,Night work loop and hidden campus routes.,Building should feel used and ordinary at 4 A.M.,Ch. 21; PDF pp. 171–173.
Professor’s office,Mentor space,"Small office changes the apparent scale of authority; papers, reflected light, direct request for help.",Faculty Office,Office-hours mechanic and negotiated academic stakes.,"Use silence and awkwardness, not glowing quest markers.",Ch. 21; PDF pp. 172–173.
"St. John’s College, Annapolis",Interview site,"Immaculate lawns, colonial architecture, corridor waiting, stiff pantsuit, borrowed handbag.",Scholarship Interview College,High-stakes interview and presentation of self.,Exact real name may remain in literary adaptation notes.,Ch. 29; PDF p. 228.
