Object,Context,Source Detail,Game Use,Source Locator
Mustard-colored sofa and shaggy brown carpet,Home,Family scripture scenes; ordinary room becomes site of doctrine.,Use as recurring blocking anchor at supper/meetings.,"Ch. 1, PDF p. 13."
Reworked red-oak table,Home / food,"Large enough for nine; pancakes, cereal, lectures, later conflicting accounts.",Core home-scene table; preserve scratches and repairs.,"Ch. 1, PDF pp. 15, 17–18."
Seven-grain cereal / pancakes,Food,Served with honey and molasses; cereal with water after milk revelation.,Breakfast state changes with family doctrine.,"Ch. 1, PDF p. 15."
Western Family 2% milk,Food / brand texture,Later returns to the fridge after revelation fades.,Background packaging can mark quiet doctrinal reversal.,"Ch. 1, PDF p. 20."
Mason jars of peaches,Food / survival,"Rows of warm jars, pressure cooker, root-cellar stores.",Resource system and visual calendar of summer labor.,"Chs. 1, 9."
Head-for-the-hills bags and MREs,Preparedness,"Army bags, purifiers, flint, herbal medicine, reflective blanket.",Emergency inventory with personal placement/history.,Ch. 1.
SKS rifle in Cosmoline and duct tape,Preparedness / hidden object,"Cleaned, wrapped, buried by railcar.",Evidence object whose meaning changes across acts.,"Ch. 1, PDF pp. 19–20."
Birch cabinets and electric herb scale,Care workshop,Midwife supply scene with dried leaves and tinctures.,Functional bench props; visible measurements matter.,"Ch. 2, PDF p. 21."
"Calendula, lobelia, witch hazel",Herbs,First supply list; recognizable care vocabulary.,Recipe and delivery cues; no magic stats.,"Ch. 2, PDF p. 21."
Cramp bark and motherwort,Herbs,Post-birth contraction treatments discussed by Judy/Maria.,Ambient apprentice conversation.,"Ch. 2, PDF p. 22."
Tackle box of dark tincture bottles,Care / travel,Ruth’s mobile birth kit.,Carryable loadout with weight and missing-item risk.,"Ch. 2, PDF p. 23."
Lime-green cradle telephone,Communication,Glossy phone among cohosh and skullcap jars.,Major prop signalling selective connection to outside systems.,"Ch. 2, PDF pp. 25–26."
Pink teddy-bear journal,Memory,Gift from town grandmother; records first restaurant meal.,Early journal skin and memory UI inspiration.,"Ch. 2, PDF p. 25."
Cream shoes / decorative soaps,Class / family history,Cream vs white shoes; swan and rose soaps in ivory shell.,Small-object evidence for class and hygiene contrasts.,"Chs. 3, 5."
Baby-blue Volkswagen Beetle,Family history vehicle,Young Gene’s stylish car before later severity.,Optional photo/flash-memory vehicle.,"Ch. 3, PDF p. 33."
Station wagon,Travel / accident,"Family car, utility poles, tractor, shattered windshield.",Evidence-rich accident scene; not a repeatable stunt.,Ch. 4.
Chevy Astro van with queen mattress,Travel,Seats removed; family rides on mattress; snow crash.,Spatially risky vehicle interior for travel dialogue.,Ch. 10.
Pencil-shaving matchboxes,Jonah,Five years catalogued by year for fire starters.,Character-room prop showing order and prep culture.,"Ch. 5, PDF p. 48."
Boom box and choir CDs,Music,"Mozart, Chopin, choir recording; nighttime sibling ritual.","Music hub; track unlocks through relationship, not purchase grind.","Ch. 5, PDF pp. 48–49."
Tincture juicer,Kitchen / humor,Three perfect tacos turned into orange liquid during lecture.,Recurring comic prop with relational memory.,"Ch. 5, PDF p. 52."
Steel-toed boots and baling twine,Work / injury,Twine belt and duct-taped boots shape burn story.,"Wear, repair, and family folklore visible in character model.",Ch. 7.
