Beat,Scene,Source Detail,Ambient Dialogue or Behavior,Player Expression,Source Locator
15,Road talk,Bear River Hill/Fivemile-like route; CB static; trucker slang; fields and canals.,Caleb asks why everyone says “we” when Mara means herself.,"Tell a small truth, joke, deflect, or ask about town.","Chs. 12, 19–20."
16,Cedar Gate arrival,"Church, post office, Merritt’s Fuel & Post, single stoplight, opera-house marquee in one sightline.",A local recognizes the Vale truck before recognizing Mara.,"Park at market, hardware, clinic, or library.",Ch. 8 and Ch. 9.
17,Hardware counter,"Long screws vs short screws, grabbers, lock display, repair advice.",Clerk remembers Silas buying the same fastener years before; Mara decides whether to ask why.,"Buy parts, ask for records, or conceal purpose.",Ch. 13.
18,Ordinary medicine,Keller’s Market pharmacy counter; two red pills; bakery’s unsold doughnuts nearby.,Caleb: “I’m not telling you what to believe. I’m telling you what this is.”,"Accept, refuse, ask ingredients, or call Ruth.",Chs. 19–21.
19,Meetinghouse contrast,"Choir rehearsal, casserole sign-up, storm shelter list, children running through hall.",Rev. Hale quotes no condemnation; he asks who is safe tonight.,"Request help, discuss belief, or stay for music only.","Author’s Note; Chs. 8, 22–24."
20,Ridge signal,"Town radio tower, Morse-like pulses, The Watcher silhouette above fading light.",Caleb identifies a pattern; Mara remembers studying Morse code for cut lines.,"Trace signal, dismiss it, or note it for later.",Ch. 5; PDF p. 51.
21,Storm return,"Sardine-style canyon weather, bald tire warning, road closure board, snow swallowing lane markings.",Nora’s practical route conflicts with Abel’s faster shortcut.,"Drive safe route, turn back, or trust a risky local trail.","Chs. 4, 10, 14."
22,Finish work or preserve evidence,Cracked part and chalk mark may be destroyed if job is completed.,Abel: “Scrap don’t testify.” Eliza looks away.,"Finish, preserve part, photograph it, or hide it.",Evidence themes throughout; Ch. 7.
23,Supper version,"Beef-and-potato casserole, sweating water glasses, red-oak table, dog-ordinance joke resurfaces.","Abel tells a funny, simplified version; everyone knows when to laugh.","Join laughter, redirect, stay silent, or ask one factual question.","Ch. 7, PDF p. 71."
24,Correct one detail,A belt/twine-style joke converts danger into folklore.,Mara can say only: “The crack was there before Eli touched it.”,"Correction changes respect, fear, and who speaks next; future result remains hidden.",Ch. 7 memory conflict.
25,Private aftermath,Eliza folds towels or sorts order cards rather than facing Mara directly.,Eliza: “I didn’t say you imagined it. I said I can’t say it there.”,"Press, reassure, offer evidence, or leave the room.","Chs. 31, 33."
26,Memory journal,Pink-cover journal skin; Saw / Heard / Concluded; erased wording remains faint.,"No omniscient summary. Pen scratch, house settling, distant radio only.","Revise conclusion, preserve uncertainty, or lock entry.","Chs. 7, 33."
27,Hidden map / radio invitation,"Jonah’s tidy diagram, Nora’s handwritten directions, public town map layered together.","A message uses a private sibling phrase from earlier, proving the sender knows the family.","Follow now, ask Caleb to join, or wait for daylight.","Chs. 5, 12, 30."
28,Beyond the ridge,"Mara at threshold; peak behind, road/town lights ahead; no quest banner covering hands or horizon.","One remembered line from Jonah, transformed rather than quoted, under the wind.","Step forward, return home first, or mark the route - all continue the story.","Prologue; Chs. 5, 40."
