Trigger,Character,Context,Source Detail,Narrative Function,Game Use,Source Locator
Y2K and The Honeymooners,Family,New Year’s Eve,The family waits for systems to fail while a black-and-white sitcom continues past midnight.,"Failed prophecy leaves an intimate image, not a scoreboard.",A television episode and working tap water become the evidence of a prediction failing.,"Ch. 9, PDF pp. 90–91."
FDR or forklift?,Mara / theater ensemble,Rehearsal,A director asks for FDR; Mara hears the acronym as industrial equipment.,Knowledge gaps appear inside ordinary speech.,A town NPC uses a common abbreviation the player can ask about or pretend to know.,"Ch. 9, PDF p. 86."
Sunlight for tonsils,Abel / Mara,Winter work / vocal rehearsal,Abel prescribes standing in winter sun with the mouth open.,"Care, confidence, and faulty reasoning coexist.",A singer jokes about the ‘sun cure’ years later; Mara may laugh or admit she did it.,"Ch. 9, PDF pp. 87–88."
Siddle Lister road game,Silas / Mara,Long drive,Swapped initials and number-word changes turn trucking boredom into a private language.,Play can establish genuine intimacy before control appears.,A co-op travel segment uses a new word game as optional banter.,"Ch. 12, PDF pp. 104–105."
CB radio convoy,Silas / truckers,Highway,Truckers use vehicle nicknames and coordinate to slow a reckless Ferrari.,A social network exists in radio slang.,Radio chatter teaches road language and cooperative intervention.,"Ch. 12, PDF pp. 104–105."
Snickers / Milky Way test,Silas / Sadie analogue,Theater / dime store,A candy request is deliberately changed to make someone fail and prove control.,Tiny errands can become coercive loyalty tests.,A repeated contradictory request becomes an insight cue; the player can name the pattern.,"Ch. 12, PDF pp. 106–107."
The Yearling becomes Bud,Silas / Mara,Corral at dusk,A descriptive animal label becomes a real name after trust develops.,Naming is a relational milestone.,The player earns the right to rename a horse after several care actions.,"Ch. 11, PDF pp. 97–99."
Slide-bolt lock,Mara / Silas,Bedroom doorway,Mara buys a strong lock; Silas notices the wrong screws and installs it correctly.,Care and threat can occupy the same scene.,The installed lock grants safety while complicating the relationship journal.,"Ch. 13, PDF pp. 117–118."
Unsold bakery doughnuts,Caleb / Mara,Evening in town,The Stokes assistant manager gives Mara unsold doughnuts while she and Charles talk about music.,Ordinary generosity makes town feel like home.,A late shift yields leftover pastries and low-stakes conversation.,"Ch. 19, PDF p. 162."
The bubble sheet,Mara,First major exam,Mara has never used a standardized answer sheet and must ask how to fill it.,Institutions hide assumed knowledge.,"A tutorial can let the player ask without penalty, conceal confusion, or observe someone else.","Ch. 15, PDF pp. 130–131."
The blue book,Mara / Vanessa analogue,Western Civ exam,Everyone produces an essay booklet with practiced ease; Mara expects multiple choice.,Belonging often depends on invisible procedures.,"An academic sequence teaches the player to prepare materials, not merely facts.","Ch. 18, PDF pp. 152–154."
Read the textbook,Vanessa analogue / Mara,Dorm study session,Mara thinks the art book is only for looking at pictures until someone explains the syllabus.,One practical sentence can unlock a system.,The player discovers that a ‘picture book’ is the missing source for an exam.,"Ch. 18, PDF pp. 156–157."
Two red pills,Caleb / Mara,Kitchen counter,Ordinary pain medicine removes an earache Mara believed untouchable.,A small experience can revise a worldview.,"The player may accept medicine, refuse it, or ask what it is; the result becomes remembered evidence.","Ch. 21, PDF pp. 170–171."
The smell of rotted plants,Caleb / Mara,Approach to the house,An outsider notices the herb smell that Mara no longer perceives.,Familiar environments become visible through another person.,Companion comments reveal sensory details the protagonist has filtered out.,"Ch. 20, PDF pp. 164–165."
Newton’s echo,Porter / Mara,Trinity north cloister,A porter links a physical echo in the stone corridor to Newton measuring sound.,"Place history becomes active, not decorative.",A footstep echo can trigger a mechanics-and-history observation.,"Ch. 30, PDF pp. 232–234."
Stone bridge journal,Mara,Cambridge night,Mara writes beside the river while looking toward King’s College Chapel; beauty and guilt occupy the same frame.,Location changes emotional meaning.,The same bridge becomes a save/reflection point whose ambience shifts with unresolved memory.,"Ch. 33, PDF p. 254."
Niagara photograph,Abel / Mara,Travel detour,Abel becomes delighted by the falls and asks for photographs after a painful religious confrontation.,A person can be tender and harmful in the same day.,A photo collectible is meaningful only because its context is conflicted.,"Ch. 36, PDF p. 274."
Dad’s burn as founding myth,Ruth / followers,Herb business,The family retells Abel’s survival until the story’s details expand and become doctrine.,Repetition can convert memory into institution.,Visitors repeat different percentages; Mara can compare the myth with earlier records.,"Chs. 29–30, PDF pp. 228–231."
